"Sl No",Asset Id,Asset Name,"Start Chainage","End Chainage","Length (Km)",District
3531,PW05020201016333,Sivankunnu High School Road,0,0.47,0.47,Ernakulam
3532,PW05020201016334,BTS Road,0,0.2,0.2,Ernakulam
3533,PW05020302026309,4th Mile - AA Road,0,2.76,2.76,Ernakulam
3534,PW05020302026311,Karukutty Mookannur Road,0,4.6,4.6,Ernakulam
3535,PW05020302026312,Camp Shed Road,0,1,1,Ernakulam
3536,PW05020302026313,Thuravoor Mookannur Rd,0,2,2,Ernakulam
3537,PW05020303016344,Kalapady-Velankadavu Road,0,0.46,0.46,Ernakulam
3538,PW05020303016345,"Gothuruth Bridge - Gothuruthu EastChurch Road",0,1.5,1.5,Ernakulam
3539,PW05020201016351,TB Road,0,0.29,0.29,Ernakulam
3540,PW05020201016326,Market Road,0,0.73,0.73,Ernakulam
3541,PW05020201016327,Vellorkunnam Temple Road,0,0.36,0.36,Ernakulam
3542,PW05020201016328,Paipra Nellikkuzhi Road,0,3.7,3.7,Ernakulam
3543,PW05020201016329,Kavattumukku kazhai Road,0,3,3,Ernakulam
3544,PW05020201016330,"Civil Station Kurikavu PezhakkappillyRoad",0,7,7,Ernakulam
3545,PW05020201016353,Marika -Thottakkara Road,0,3,3,Ernakulam
3546,PW05020303016350,Pooyappilly- Thrikkadakappilly Road,0,1.75,1.75,Ernakulam
3547,PW05020303016354,Njaarakkattu Road,0,1.5,1.5,Ernakulam
3548,PW05020303016355,Approach to Thathappilly Bridge,0,1.7,1.7,Ernakulam
3549,PW05020303016356,Mannam-Thathappilly Road,0,3.71,3.71,Ernakulam
3550,PW05020303016358,Kottuvally Suthern Extrimity,0,1.2,1.2,Ernakulam
3551,PW05020202016332,Odakkaly Naganchery Road,1.85,3.88,2.03,Ernakulam
3552,PW05020202016333,"Keerampara -Kalladu-AyyappanmudyTourist Centre Road",0,3,3,Ernakulam
3553,PW05020202016334,Punnekkadu Palamattom Road,0,3.6,3.6,Ernakulam
3554,PW05020303016336,Ayiroor-Thuruthipuram Road,0,11.15,11.15,Ernakulam
3555,PW05020201026338,Nelloorupara Elanji,0,4,4,Ernakulam
3556,PW05020201026318,Arayanichuvadu Ponkolukkara road,0,1.9,1.9,Ernakulam
3557,PW05020201026319,Koothattukulam Substation Road,0,2,2,Ernakulam
3558,PW05020302036317,Manjaly loop Road,0,3.4,3.4,Ernakulam
3559,PW05020302036318,Puthiya Road to Puthiya Road,0,2.3,2.3,Ernakulam
3560,PW05020302036319,Ahammadunni Road,0,2.4,2.4,Ernakulam
3561,PW05020302036320,Kongorppilly Olanad,0,1.7,1.7,Ernakulam
3562,PW05020302036321,"Thiruvallur Kunnelpally PanayiulamRoad",0,2,2,Ernakulam
3563,PW05020302036322,2nd Mile AP to Thadikkakadavu Road,0,4.56,4.56,Ernakulam
3564,PW05020302036323,MT Link Road,0,0.9,0.9,Ernakulam
3565,PW05020302036324,Aluva Alangad 2nd Reach,0,2.9,2.9,Ernakulam
3566,PW05020302036325,Aluva Alangad 1st Reach,0.6,1.6,1,Ernakulam
3567,PW05020302026330,Muringoor Ezhattumugham,10.3,17.21,6.91,Ernakulam
3568,PW05020302026333,Manjapra Malayatoor Road,0,6,6,Ernakulam
3569,PW05020302026336,"Manjapra vadakkumbagham EdakunnuRoad",0,7,7,Ernakulam
3570,PW05020302026337,Karukutty Azhakam Rd,0,5,5,Ernakulam
3571,PW05020302026338,"Karukutty Moozhikulam viaPeechanikadu Road",0,4,4,Ernakulam
3572,PW05020302026339,Sreesankara College Rd,0,1.5,1.5,Ernakulam
3573,PW05020302026340,Sebiyoor Colony Road,0,2.7,2.7,Ernakulam
3574,PW05020302026342,Chengamanad Elavoor Road,4.5,7.45,2.95,Ernakulam
3575,PW05020302026347,Angamaly Manjaly Rd,0,1,1,Ernakulam
3576,PW05020302026344,Elavoor Thazhepilly Rd,0,1.5,1.5,Ernakulam
3577,PW05020302026348,Panaithodu Parakkadavu Road,4,6.5,2.5,Ernakulam
3578,PW05020302026345,Parakkadav-Kochukadavu Road,0,1.19,1.19,Ernakulam
3579,PW05020302026349,"Manakkapady Mathanangal PuliyanamRoadd",0,1.6,1.6,Ernakulam
3580,PW05020302026346,Angamaly Paravoor Road,3.5,5.4,1.9,Ernakulam
3581,PW05020302036374,Chanthakadavu Uliyannur Road,0,2.6,2.6,Ernakulam
3582,PW05020302036375,Approach Road to Kunjunnikara Bridge,0,0.4,0.4,Ernakulam
3583,PW05020302036347,Road around University,0,1.53,1.53,Ernakulam
3584,PW05020302036332,Edapally Methanam Road,0,4.7,4.7,Ernakulam
3585,PW05020302036348,Kangarapady Kalamassery Road,0,1.2,1.2,Ernakulam
3586,PW05020302036333,HMT Rock well Road,0,1.5,1.5,Ernakulam
3587,PW05020302036334,Uzhamkadavu Road,0,0.7,0.7,Ernakulam
3588,PW05020302036335,"University Punnakattumoola SeaportlineRoad",0,0.6,0.6,Ernakulam
3589,PW05020302036336,University Colony Seaport Road,0,0.7,0.7,Ernakulam
3590,PW05020302036337,Kaipadamughal Road,0,1.3,1.3,Ernakulam
3591,PW05020302036338,St.Josephs Thrikkakkara Temple Road,0,1.2,1.2,Ernakulam
3592,PW05020302036339,Holy Angels Kalamassery,0,0.2,0.2,Ernakulam
3593,PW05020302036340,Methar Nagar,0,2,2,Ernakulam
3594,PW05020302036341,"HMT Store to korakkampilly templering Road",0,3,3,Ernakulam
3595,PW05020302036342,Ayroor Church Road,0,0.7,0.7,Ernakulam
3596,PW05020302036343,Muthalalipeedika Road,0,1.1,1.1,Ernakulam
3597,PW05020302036344,Kunnukara Vayalkara Road,0,2,2,Ernakulam
3598,PW05020302036362,Chalakka Kaduvakkad Ambalam Road,0,0.85,0.85,Ernakulam
3599,PW05020302036366,3 rd Mile AA Road to Thadikkakadavu,3.7,4.7,1,Ernakulam
3600,PW05020302036353,Manjummel Muttar Road,0,1.8,1.8,Ernakulam
3601,PW05020302036357,Uliyannur Panchayathkadavu Road,0,0.2,0.2,Ernakulam
3602,PW05020302036354,Millupadi Kakkunni Masjid Road,0,1.7,1.7,Ernakulam
3603,PW05020302036361,FACT Methanam,0,2.7,2.7,Ernakulam
3604,PW05020302036372,University Ring Road,0,1.6,1.6,Ernakulam
3605,PW05020201036330,Thodupuzha - Piravom,31.7,33.4,1.7,Ernakulam
3606,PW05020201026339,Thirumarady Aroor road,0,7,7,Ernakulam
3607,PW05020201046330,Kaloor church Road,9.15,10.15,1,Ernakulam
3608,PW05020203036348,"Pazhanganad Kappelappady A PVarkey road",0,2.4,2.4,Ernakulam
3609,PW05020203016337,Arackappady - Valampoor Road,0,4,4,Ernakulam
3610,PW05020201016358,S N D P Road,0,0.5,0.5,Ernakulam
3611,PW05020203016335,Arakappady-Mangalathnadnada,0,8.75,8.75,Ernakulam
3612,PW05020301026346,Vennala Janatha Arakakadavu Road,0,0.6,0.6,Ernakulam
3613,PW05020301026347,Alinchuvadu Vennala Road,0,1.6,1.6,Ernakulam
3614,PW05020201036335,Avarma Palachuvadu,2.2,3.9,1.7,Ernakulam
3615,PW05020301036440,Kumbalanghi - Ferry Road,0,0.36,0.36,Ernakulam
3616,PW05020202016330,Elavanparambu- Nadukani Road,0,6,6,Ernakulam
3617,PW05020202016331,"Keerampara- Bhoothathankettu-Poochakuthu- Malippara- Vettilapara",0,9,9,Ernakulam
3618,PW05020301016349,Kunnumpuram Muttar Road,0,0.2,0.2,Ernakulam
3619,PW05020202016313,"Kothamangalam Town Road (HospitalJunction) Via A.K.G Bhavan",0,0.6,0.6,Ernakulam
3620,PW05020202016310,"Kothamangalam Town Road(Pallithazham -VK Road)",0,0.3,0.3,Ernakulam
3621,PW05020202016309,"Kothamangalam Town Road (Mar BasilSchool Pady Pallithazham)",0,0.75,0.75,Ernakulam
3622,PW05020202016308,"Kothamangalam Town Road (PoliceStation Bypass Road)",0,0.3,0.3,Ernakulam
3623,PW05020202016307,"Kothamangalam Town Road(Darmagiri Pallithazham)",0,0.4,0.4,Ernakulam
3624,PW05020202016339,"Nangelipady Cheruvattoor PaipraRoad (314 Colony)",0,11.2,11.2,Ernakulam
3625,PW05020202016341,"Nellimattom PothukukuzhyPerumannoor LPS (via) ArackakudyKavala Namboorikoopu Oonnukal Road",0,6.9,6.9,Ernakulam
3626,PW05020202016302,Paipra Nellikuzhy Road,3.7,9.6,5.9,Ernakulam
3627,PW05020202016342,Malippara- Chenkara- Punnekadu Road,0,3.4,3.4,Ernakulam
3628,PW05020202016343,"Plamudy- Kottappady- PanipraIrumalappady Road",0,11.5,11.5,Ernakulam
3629,PW05020202016344,Punnekkadu Paradu Road,0,2,2,Ernakulam
3630,PW05020301026302,Panamkutty Deviation Road,0,0.66,0.66,Ernakulam
3631,PW05020201036336,Thodupuzha -Piravom old road,0,0.75,0.75,Ernakulam
3632,PW05020201046332,Avoly-Keevallikkadavu road,0,2.1,2.1,Ernakulam
3633,PW05020201046333,Murikallu bypass,0,2.27,2.27,Ernakulam
3634,PW05020202016345,Kakkanad Thankalam Road,20,27.32,7.32,Ernakulam
3635,PW05020302036302,Aikya Kerala Mattupuram Road,0,2.5,2.5,Ernakulam
3636,PW05020302036345,Angamaly-Manjaly Road,1.4,6.5,5.1,Ernakulam
3637,PW05020302036310,Neerikode-Thattampadi Road,0,1.8,1.8,Ernakulam
3638,PW05020302036311,Kadungalloor- Karumalloor- Road,0,2.3,2.3,Ernakulam
3639,PW05020303016353,"Puthenvelikara Police Station toCochin State Frontie",0,3.05,3.05,Ernakulam
3640,PW05020302036312,Aluva-Paravoor Road,2.2,11.65,9.45,Ernakulam
3641,PW05020302036346,Thadikkakadavu-Manjali Road,0,5.5,5.5,Ernakulam
3642,PW05020303016341,Pattam-Manjali Road,0,2.85,2.85,Ernakulam
3643,PW05020302036349,Kuttiyal-Kochukadavu Road,0,1.85,1.85,Ernakulam
3644,PW05020302026343,Annamanada-Moozhikulam Road,0,2.21,2.21,Ernakulam
3645,PW05020302036313,"UC College Thadikkakadavu viaParanaRoad",0,3.55,3.55,Ernakulam
3646,PW05020302036315,Kochal Karingamthuruth Road,1,3.2,2.2,Ernakulam
3647,PW05020302036314,"Mannam ThathappillyKaringamthuruth Road",2.7,3.4,0.7,Ernakulam
3648,PW05020302036356,Edayar-Paniyakulam Road,0,2,2,Ernakulam
3649,PW05020302036330,Approach Road to IRE,0,0.6,0.6,Ernakulam
3650,PW05020302036328,Approach Road to IRE Ferry,0,0.55,0.55,Ernakulam
3651,PW05020302036359,Approcah Road to Pathalam Bridge,0,0.96,0.96,Ernakulam
3652,PW05020302036327,Approch Road to Mosque at Edayar,0,0.48,0.48,Ernakulam
3653,PW05020303016339,Paravoor-Varapuzha Road,0,2.8,2.8,Ernakulam
3654,PW05020303016342,Paravur-Chathunadu Road,0,8.96,8.96,Ernakulam
3655,PW05020303016343,Paravur-Kurunthottiparambu Road,0,1.81,1.81,Ernakulam
3656,PW05020302036316,Manjali Market Landing Road,1.5,2.9,1.4,Ernakulam
3657,PW05020303016340,Vedimara-Vanayikadavu Road,0,1.6,1.6,Ernakulam
3658,PW05020303016338,"Paravur-Chendumangalam Road 2ndSection",0,2.1,2.1,Ernakulam
3659,PW05020303016337,Thonniakavu-Thrikkapuram Road,0,4,4,Ernakulam
3660,PW05020302036364,Ayroor-Thuruthipuram Road,0,1,1,Ernakulam
3661,PW05020303016360,Thattukadavu-Chendamangalam Road,0,3.12,3.12,Ernakulam
3662,PW05020303016357,"Paravur-Chendamangalam Road 1stSection",0,2.01,2.01,Ernakulam
3663,PW05020303016351,"Approch Road to Gothuruthu LinkRoad",0,0.7,0.7,Ernakulam
3664,PW05020303016347,Moothakunnam-Munambam Road,0,3.8,3.8,Ernakulam
3665,PW05020303016348,Vadakkakara-Munambam Road,0,3.38,3.38,Ernakulam
3666,PW05020303016352,Foot Path In Gothuruth Road,0,1.45,1.45,Ernakulam
3667,PW05020303016335,Andipillykkavu-Vadakkumpuram Road,0,1.73,1.73,Ernakulam
3668,PW05020303016334,"H.S Chandramangalam to WesternPart Of Chendamangalam",0,0.77,0.77,Ernakulam
3669,PW05020303016349,"Pattanam-PuzhakaredathMachanthuruth Road",0,2.3,2.3,Ernakulam
3670,PW05020303016346,"Kuriappilly South-MachanthurathuiRoad",0,2,2,Ernakulam
3671,PW05020302036371,Kadungalloor-Kongorpilly Road,0,5.3,5.3,Ernakulam
3672,PW05020303016359,Mala-Elathikara Road,0,2.99,2.99,Ernakulam
3673,PW05020302036329,Edayar-Muppathadam Road,0,3,3,Ernakulam
3674,PW05020301036303,Kumbalangi-Perumpadappu Road,0,1.8,1.8,Ernakulam
3675,PW05020301036334,Penstok-Factory Road,0,0.6,0.6,Ernakulam
3676,PW05020301036332,Kumbalangi-Kandakadavu Road,0,2.5,2.5,Ernakulam
3677,PW05020301036335,Nettoor-Panangad Road,0,7.5,7.5,Ernakulam
3678,PW05020301036312,Santo Gopalan Road,0,1.8,1.8,Ernakulam
3679,PW05020301036337,KB Jacob Road,0,1.9,1.9,Ernakulam
3680,PW05020301036311,Jawahar Road,0,1.8,1.8,Ernakulam
3681,PW05020301036306,Maulana Azad Road,0,3.6,3.6,Ernakulam
3682,PW05020301036333,Fr.Mathew Kottakkathu Road,0,1.8,1.8,Ernakulam
3683,PW05020301036310,M.S.Palluruthy Road,0,1,1,Ernakulam
3684,PW05020301036336,Kattiparambu-Kalathara Road,0,1.5,1.5,Ernakulam
3685,PW05020302016315,Edappally Muvattupuzha Road,7,11.02,4.02,Ernakulam
3686,PW05020302036365,North Kalamassery -Glass Factory Road,0,1.7,1.7,Ernakulam
3687,PW05020302036367,HMT Road,0,5,5,Ernakulam
3688,PW05020302036350,South Kalamassery Glass Factory Road,0,1.6,1.6,Ernakulam
3689,PW05020302026314,Kalady-Malayattoor Road,0,11.22,11.22,Ernakulam
3690,PW05020302026305,Blachipara-Palissery Road,0,6,6,Ernakulam
3691,PW05020302026302,Mookkanoor-Ezhattumugham Road,0,14.2,14.2,Ernakulam
3692,PW05020302026308,Manjapara-Chully Road,0,10,10,Ernakulam
3693,PW05020302026322,Kalady-Anappara-Poothamkutty Road,0,14.4,14.4,Ernakulam
3694,PW05020302026319,Karakutty-Palissery Road,0,3.6,3.6,Ernakulam
3695,PW05020302026315,Angamaly-Manjapra Road,0,8,8,Ernakulam
3696,PW05020302026316,Kariyad Matoor Rd,1.8,6.9,5.1,Ernakulam
3697,PW05020302026304,NH Link Road,0,0.8,0.8,Ernakulam
3698,PW05020302026323,Vengoor-Nayathodu Road,0,3.5,3.5,Ernakulam
3699,PW05020302016312,Mangalapuzha-Semenary Road,0,0.31,0.31,Ernakulam
3700,PW05020302016313,Chawara-Mangalapuzha Road,0,3.85,3.85,Ernakulam
3701,PW05020302016314,Town Limit Road-Old Military Road,0,0.26,0.26,Ernakulam
3702,PW05020302016309,"Town Limit Road ChaembakasseryKadavu Road",0,0.4,0.4,Ernakulam
3703,PW05020302016302,Town Limit Road-Hospital Loop Road,0,0.76,0.76,Ernakulam
3704,PW05020302016303,"Town Limit Road-Estern ApproachRoad",0,0.3,0.3,Ernakulam
3705,PW05020302026307,Angamaly-Railway Station Road,0,0.2,0.2,Ernakulam
3706,PW05020302026306,Angamaly-Kodussery Road,0,3.17,3.17,Ernakulam
3707,PW05020302016311,Edathala-Pengattussery Road,0,3.7,3.7,Ernakulam
3708,PW05020302016304,"Kuttamassery-ChallakkalThadiyattaparambu Road",0,2.67,2.67,Ernakulam
3709,PW05020302026321,"Angamaly-Manjaly Road ViaMadhurappuram",0,3.22,3.22,Ernakulam
3710,PW05020302026341,Karukutty-Moozhikulam Road,0,6.5,6.5,Ernakulam
3711,PW05020302026318,Kalady-Manjapra Road,0,5,5,Ernakulam
3712,PW05020302026320,Charanelloor-Trace Road,0,2.26,2.26,Ernakulam
3713,PW05020302026332,FIT Kanimangalam Road,0,5,5,Ernakulam
3714,PW05020302026331,Kalady-Ashramam Road,0,0.8,0.8,Ernakulam
3715,PW05020302026324,Sringeri-Mutt Road,0,0.25,0.25,Ernakulam
3716,PW05020302026334,Karukutty Ezhattumugham road,0,7,7,Ernakulam
3717,PW05020302026325,Manjapara-Ayyampuzha Road,0,7.2,7.2,Ernakulam
3718,PW05020302026328,Karakutty-Elavoor Road,0,5,5,Ernakulam
3719,PW05020302026329,Puliyanam-Mambra-Karukutty Road,0,5.5,5.5,Ernakulam
3720,PW05020302026327,Vengoor-Kidangoor Road,0,2.8,2.8,Ernakulam
3721,PW05020302016310,Perumbavoor Aluva Road,8,16.13,8.13,Ernakulam
3722,PW05020302016338,Parambayam-Avanamcode,0,7.52,7.52,Ernakulam
3723,PW05020302016308,Mangalapada-Panayithodu Road,0,2.83,2.83,Ernakulam
3724,PW05020302016307,"Town Limit Road-Approach Road toPWD Staffquarters Road",0,0.18,0.18,Ernakulam
3725,PW05020302016306,Chattapuram-Edayapuram Society,0,4,4,Ernakulam
3726,PW05020302016305,Challakkal-Thadiyittaparambu Road,0,2.05,2.05,Ernakulam
3727,PW05020302016325,Town Limit Roads-Staff Quarters Road,0,0.39,0.39,Ernakulam
3728,PW05020302016341,"Town Limit Road-Western ApproachRoad",0,0.69,0.69,Ernakulam
3729,PW05020302016327,Town Limit Road-GHS Approach Road,0,0.69,0.69,Ernakulam
3730,PW05020302016342,"Town Limit Road-Sree Krishna TempleRoad",0,0.6,0.6,Ernakulam
3731,PW05020302036352,Kalamassery FACT Road,0,5.8,5.8,Ernakulam
3732,PW05020302036355,TCC to Pathalam Kadavu Road,0,0.8,0.8,Ernakulam
3733,PW05020302036376,Uliyannur Ambalakadavu Road,0,0.4,0.4,Ernakulam
3734,PW05020302036326,Manjummal-Arattukadavu Road,0,0.65,0.65,Ernakulam
3735,PW05020302036363,FACT-Unthithodu Road,0,1.8,1.8,Ernakulam
3736,PW05020302016317,"Thottumugham-ThadiyittaparambRoad",0,6,6,Ernakulam
3737,PW05020302016352,"3rd Mile A.V Road to-KizhakkambalamRoad",0,5,5,Ernakulam
3738,PW05020302016323,Pukkattupady Loop Road,0,0.35,0.35,Ernakulam
3739,PW05020302036368,Thevakkal-Manalimukku Road,0,1.6,1.6,Ernakulam
3740,PW05020302016343,Town Limit Road-Market Landing Road,0,0.45,0.45,Ernakulam
3741,PW05020302036360,Aluva-Varapuzha Road (via) IAC,0,0.85,0.85,Ernakulam
3742,PW05020302016324,"Carmel-Manakkappady (ConnectingEdathalaThaikkattukara Road)",0,3.3,3.3,Ernakulam
3743,PW05020302016326,Town Limit Roads-Tass Hall Road,0,0.37,0.37,Ernakulam
3744,PW05020302026350,Kodannadu bridge and approach,0,0.97,0.97,Ernakulam
3745,PW05020302026335,Kidangoor - Bethleham Road,0,6,6,Ernakulam
3746,PW05020302026326,Angamaly Market Landing Road,0,0.8,0.8,Ernakulam
3747,PW05020302016337,Ka\uttamassery-Chunangamvely Road,0,4,4,Ernakulam
3748,PW05020302016344,Edathala-Thaikkattukara Road,0,6,6,Ernakulam
3749,PW05020302036358,FACT-Manjummel Road,0,2,2,Ernakulam
3750,PW05020302036370,U.C.College-Edayar Road,0,5.7,5.7,Ernakulam
3751,PW05020302036351,"Kadungalloor-Elookara-Kayantikara-Alupuram Road",0,5.5,5.5,Ernakulam
3752,PW05020302036369,Edappally Muvattupuzha Road,4.5,7,2.5,Ernakulam
3753,PW05010503026368,"Areekara - Ayinkapuram -Koodappulam",0,2.2,2.2,Ernakulam
3754,PW05020301026313,Mini Bye Pass Road,0,2.3,2.3,Ernakulam
3755,PW05020303016301,Paravur-Chakkarakadavu Road,0,1.71,1.71,Ernakulam
3756,PW05020303016302,Paravur-Cherai road,0,2.67,2.67,Ernakulam
3757,PW05020303016303,Ezhikkara-Kaitharam Byepass,0,1.55,1.55,Ernakulam
3758,PW05020303016304,Kadavath road,0,1.5,1.5,Ernakulam
3759,PW05020303016305,Kadakkara Road (Balance Portion),0,2,2,Ernakulam
3760,PW05020303016306,NH 17 Byepass road in North Paravur,0,1,1,Ernakulam
3761,PW05020303016307,Kadakkara road,0,0.89,0.89,Ernakulam
3762,PW05020303016308,Manjali-Market landing road,0,2.87,2.87,Ernakulam
3763,PW05020303016309,Aluva-Paravur road,0,4.5,4.5,Ernakulam
3764,PW05020303016310,Mannam-Peruvaram,0,2,2,Ernakulam
3765,PW05020202026313,Vazhakulam - Kothamangalam Road,9,17.4,8.4,Ernakulam
3766,PW05020202026304,Kalloor - Kadavoor Road,0,5,5,Ernakulam
3767,PW05020202026303,Kakkadasseri - Kaliyar Road,3.3,20,16.7,Ernakulam
3768,PW05020202026320,"Kuthukuzhi - Peerikkanni - Thencodu -Uppukuzhy roadRoad",0,13.9,13.9,Ernakulam
3769,PW05020202026321,"Kulapuram - Pothanicadu -Thaimattom road Road",0,6,6,Ernakulam
3770,PW05020202016306,"Neriamangalam - Palamattom Road(via) Avolichal",0,11,11,Ernakulam
3771,PW05020202016304,Neriamanagalam Inchathotty Road,0,8,8,Ernakulam
3772,PW05020202016322,Puthuppady - Irumalappady Road,0,10.4,10.4,Ernakulam
3773,PW05020202026316,Adivadu -Madiyoor - Kuthukuzhy Road,0,4.1,4.1,Ernakulam
3774,PW05020202026317,Chathamattom - Oorukuzhi Road,0,16.95,16.95,Ernakulam
3775,PW05020202026310,Paingattoor Pothanikadu,0,6.2,6.2,Ernakulam
3776,PW05020202016346,"Oonjappra - Nadukani-Oonukal-Avolichal Road",0,15,15,Ernakulam
3777,PW05020202016348,Kothamangalam - Kottappady Road,0,7.5,7.5,Ernakulam
3778,PW05020202016347,"Cheranganal Ayroor PadamMuthamkuzhy Chemmeenkuth Road",0,6,6,Ernakulam
3779,PW05020202016349,Ramalloor Pindimana Road,0,3.4,3.4,Ernakulam
3780,PW05020202016350,Thrikariyoor Vadakkumbhagam Road,0,5.3,5.3,Ernakulam
3781,PW05020202016303,"Erappumgal ChemmeenKuthMalippara Road",0,2.95,2.95,Ernakulam
3782,PW05020202016318,Thrikkariyoor -Nadukani Road,0,9.27,9.27,Ernakulam
3783,PW05020202016351,"S.N.D.P Kavala Kunjuthomman Road(Via) Nellimattom Arackakudy KavalaPerumannoor Kondimattom Road",0,11,11,Ernakulam
3784,PW05020202026309,Kavalangadu Pareekanni Road,0,3.95,3.95,Ernakulam
3785,PW05020202026322,"Myloor Via Parathazham - Kalamboorroad",0,5,5,Ernakulam
3786,PW05020202026308,Paimattom Manikinar Road,0,2,2,Ernakulam
3787,PW05020202026315,Adivadu - Pallarimangalam Road,0,5.84,5.84,Ernakulam
3788,PW05020202026307,Vellaramattom - Paimattom Road,0,1.6,1.6,Ernakulam
3789,PW05020202026306,Pulinthanam - Vettithara Road,0,3.75,3.75,Ernakulam
3790,PW05020202026319,Pareekkanni Uppukuzhi Mavudi Road,0,11.4,11.4,Ernakulam
3791,PW05020202016323,"Kothamangalam - PerumbankuthuRoad",0,40,40,Ernakulam
3792,PW05020202016338,"Kuruppampady- Koottichal Road (Via)Vavely",7.34,14,6.66,Ernakulam
3793,PW05020202016352,Kanjiramkunnu Chembikodu Road,0,1.5,1.5,Ernakulam
3794,PW05020202016321,M.A.College - Thangalam Road,0,2,2,Ernakulam
3795,PW05020202016353,"Thrikkariyoor - Vettilappara -Kulangattukuzhy-Padippara Road",0,10.2,10.2,Ernakulam
3796,PW05020202016320,Nellikuzhy- Thrikariyoor,0,2.2,2.2,Ernakulam
3797,PW05020202016354,"M.P Varghese Road (Approach Road toM .A College)",0,2.5,2.5,Ernakulam
3798,PW05020303016311,"Peruvaram 15 th Km AP Road toChendamangalam",0,1.61,1.61,Ernakulam
3799,PW05020202026318,Puthuppady - Pothanicadu Road,0,11,11,Ernakulam
3800,PW05020202016329,"Nadodipalam- Mudiyara- Malippara-Vettilappara- Vadakkumbhagam Road",0,13,13,Ernakulam
3801,PW05020202016301,"NewBypass Road From ThankalamJunction To KozhippillyLink Road",0,2.81,2.81,Ernakulam
3802,PW05020202016337,Muvattupuzha- Panely Road,16.45,18,1.55,Ernakulam
3803,PW05020202016335,Veliyalchal- Ovungal Road,0,3.6,3.6,Ernakulam
3804,PW05020202016327,Alumavu - Kuroor Road,0,4.63,4.63,Ernakulam
3805,PW05020202016319,"Kuttampuzha PinavoorkudyAnanthampady Road",0,10,10,Ernakulam
3806,PW05020202016328,Sub Station - Cheruvattoor Road,0,4.54,4.54,Ernakulam
3807,PW05020201036312,Pampakkuda - Kizhumuri,0,5,5,Ernakulam
3808,PW05020202026323,Puthencruz - Allungal -Thalacodu Road,0,2.8,2.8,Ernakulam
3809,PW05020201016301,Mekkadampu - Muzhuvannoor Road,0,7.25,7.25,Ernakulam
3810,PW05020201036311,Karoor Road,0,1.3,1.3,Ernakulam
3811,PW05020201016304,Ramamangalam - Thodupuzha Road,15.2,18.07,2.87,Ernakulam
3812,PW05020201046309,Kadalikkad - Kavana Road,0,5.2,5.2,Ernakulam
3813,PW05020201046324,Vazhakulam - Arikuzha Road,0,3.65,3.65,Ernakulam
3814,PW05020201046308,Vazhakulam - Kothamangalam Road,0,8,8,Ernakulam
3815,PW05020201046325,Vazhakulam - Enanelloor Road,0,3.5,3.5,Ernakulam
3816,PW05020201046310,"Vazhakulam - Paluvallichal-EnanelloorRoad",0,1.6,1.6,Ernakulam
3817,PW05020201046311,Vazhakulam - Arakuzha- Moozhi Road,0,5,5,Ernakulam
3818,PW05020201046312,Vazhazkulam - Parakkadavu Road,0,4,4,Ernakulam
3819,PW05020201046303,Vengachuvadu - Kallurkkad Road,0,3.95,3.95,Ernakulam
3820,PW05020201046313,Avoly - Enanelloor Road,0,4.5,4.5,Ernakulam
3821,PW05020201046314,Pathakutty - Kalloorkkad Road,0,4.5,4.5,Ernakulam
3822,PW05020201046301,Kumaramangalam - Kallorkad Road,1.6,7.1,5.5,Ernakulam
3823,PW05020201046305,Nagapuzha - Kalloor Vengallor Road,0,4,4,Ernakulam
3824,PW05020201046307,Mylakombu - Madakkathanam Road,0,2.9,2.9,Ernakulam
3825,PW05020201046315,Neerampuzha - Kalloor Road,0,7,7,Ernakulam
3826,PW05020201046316,Nagapuzha -Kumaramangalam Road,0,1.6,1.6,Ernakulam
3827,PW05020201046317,Palakuzhi - Maniyamthadam Road,0,4.6,4.6,Ernakulam
3828,PW05020201046318,Anicadu - Enanelloor Road,0,4.5,4.5,Ernakulam
3829,PW05020201046319,Vazhakalakandam - Maruthur Road,0,3.6,3.6,Ernakulam
3830,PW05020201016303,Arakuzha Memadangu Road,0,4.8,4.8,Ernakulam
3831,PW05020201046327,Avoly - Nadukkara Road,0,1.7,1.7,Ernakulam
3832,PW05020202026325,"SNDP Kavala - Kunjuthomman road(via) Nellimattom - Uppukulam -",0,2.9,2.9,Ernakulam
3833,PW05020202016317,"Kuruppamapdy Kootickal ViaPallippady",0,8.8,8.8,Ernakulam
3834,PW05020202026324,Thalakodu - Mullaringadu Road,0,6,6,Ernakulam
3835,PW05020201046326,Parikkapedia-Vallikada Road,0,2.2,2.2,Ernakulam
3836,PW05020202016326,"Vayanasalappady- Valiyapara-Kattattukulam- Nellimattom Roaad",0,7,7,Ernakulam
3837,PW05020202026327,"Nellimattom - Pazhukani -Vellaramattom Road",0,5,5,Ernakulam
3838,PW05020202026314,Paingattoor Mullaringadu Road,0,5.93,5.93,Ernakulam
3839,PW05020202026326,Oonnukal - Thenkode Road,0,2,2,Ernakulam
3840,PW05020202026329,"Nellimattom - Kurukulam -Valachira -Vellaramattom Road",0,4,4,Ernakulam
3841,PW05020201046322,Thekkumala Junction-Vazhakulam,0,3.75,3.75,Ernakulam
3842,PW05020202026328,"Mulamarichira - Manikinar PallipadyBye Pass Road",0,1,1,Ernakulam
3843,PW05020201046323,Vazhakulam Town Bypass Road,0,1.2,1.2,Ernakulam
